INFO 03:31:41: Loading World
INFO 03:31:41: Making Window
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:34:48: Gen 42 Best: 67.20, Median: 17.00, 75th: 8.60, Best Passes: 4, Median Passes: 0
INFO 03:34:50: Gen 43 Best: 61.40, Median: 15.60, 75th: 2.00, Best Passes: 4, Median Passes: 0
INFO 03:34:51: Gen 44 Best: 61.60, Median: 16.00, 75th: 6.00, Best Passes: 4, Median Passes: 0
INFO 03:34:53: Gen 45 Best: 60.20, Median: 16.40, 75th: 3.00, Best Passes: 3, Median Passes: 0
INFO 03:34:54: Gen 46 Best: 68.80, Median: 16.40, 75th: 6.80, Best Passes: 5, Median Passes: 0
INFO 03:34:56: Gen 47 Best: 60.60, Median: 17.40, 75th: 9.40, Best Passes: 4, Median Passes: 0
INFO 03:34:57: Gen 48 Best: 57.00, Median: 15.00, 75th: 9.40, Best Passes: 3, Median Passes: 0
INFO 03:34:59: Gen 49 Best: 59.60, Median: 16.40, 75th: 9.20, Best Passes: 5, Median Passes: 0
INFO 03:34:59: Making Agents
INFO 03:34:59: Architecture: [(3, 3), (6, 3)]
INFO 03:34:59: Number of weights: 33
INFO 03:35:00: Gen 0 Best: 51.20, Median: 0.00, 75th: 0.00, Best Passes: 3, Median Passes: 0
INFO 03:35:01: Gen 1 Best: 45.40, Median: 0.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:35:02: Gen 2 Best: 57.60, Median: 0.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:35:03: Gen 3 Best: 56.20, Median: 0.00, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:35:05: Gen 4 Best: 47.00, Median: 2.00, 75th: 0.00, Best Passes: 5, Median Passes: 1
INFO 03:35:06: Gen 5 Best: 47.80, Median: 7.20, 75th: 0.00, Best Passes: 4, Median Passes: 0
INFO 03:35:07: Gen 6 Best: 57.40, Median: 7.60, 75th: 0.00, Best Passes: 6, Median Passes: 0
INFO 03:35:09: Gen 7 Best: 53.20, Median: 11.60, 75th: 1.00, Best Passes: 3, Median Passes: 0
INFO 03:35:10: Gen 8 Best: 51.60, Median: 10.60, 75th: 2.00, Best Passes: 3, Median Passes: 0
INFO 03:35:11: Gen 9 Best: 55.80, Median: 15.00, 75th: 6.00, Best Passes: 6, Median Passes: 0
INFO 03:35:13: Gen 10 Best: 48.00, Median: 13.00, 75th: 5.00, Best Passes: 4, Median Passes: 0
INFO 03:35:14: Gen 11 Best: 55.20, Median: 14.60, 75th: 7.20, Best Passes: 4, Median Passes: 0
INFO 03:35:16: Gen 12 Best: 47.40, Median: 13.80, 75th: 9.40, Best Passes: 3, Median Passes: 0
INFO 03:35:17: Gen 13 Best: 50.60, Median: 12.80, 75th: 9.20, Best Passes: 4, Median Passes: 0
INFO 03:35:19: Gen 14 Best: 60.00, Median: 14.80, 75th: 10.80, Best Passes: 5, Median Passes: 0
INFO 03:35:21: Gen 15 Best: 55.60, Median: 15.40, 75th: 11.00, Best Passes: 4, Median Passes: 0
INFO 03:35:22: Gen 16 Best: 50.20, Median: 15.00, 75th: 11.40, Best Passes: 4, Median Passes: 0
INFO 03:35:24: Gen 17 Best: 51.20, Median: 15.20, 75th: 11.60, Best Passes: 5, Median Passes: 0
INFO 03:35:25: Gen 18 Best: 58.40, Median: 15.20, 75th: 11.80, Best Passes: 3, Median Passes: 0
INFO 03:35:27: Gen 19 Best: 63.00, Median: 15.80, 75th: 12.20, Best Passes: 5, Median Passes: 0
INFO 03:35:28: Gen 20 Best: 50.80, Median: 15.60, 75th: 10.80, Best Passes: 4, Median Passes: 0
INFO 03:35:30: Gen 21 Best: 70.00, Median: 15.20, 75th: 11.40, Best Passes: 6, Median Passes: 0
INFO 03:35:31: Gen 22 Best: 54.00, Median: 14.80, 75th: 12.00, Best Passes: 4, Median Passes: 0
INFO 03:35:33: Gen 23 Best: 58.80, Median: 15.60, 75th: 11.60, Best Passes: 4, Median Passes: 0
INFO 03:35:34: Gen 24 Best: 61.80, Median: 16.20, 75th: 12.40, Best Passes: 4, Median Passes: 0
INFO 03:35:36: Gen 25 Best: 67.40, Median: 16.80, 75th: 12.60, Best Passes: 5, Median Passes: 0
INFO 03:35:37: Gen 26 Best: 91.20, Median: 14.40, 75th: 9.40, Best Passes: 7, Median Passes: 0
INFO 03:35:39: Gen 27 Best: 56.20, Median: 17.40, 75th: 12.80, Best Passes: 3, Median Passes: 0
INFO 03:35:40: Gen 28 Best: 86.40, Median: 16.60, 75th: 11.60, Best Passes: 5, Median Passes: 0
INFO 03:35:42: Gen 29 Best: 58.60, Median: 17.00, 75th: 13.40, Best Passes: 5, Median Passes: 0
INFO 03:35:43: Gen 30 Best: 86.20, Median: 16.20, 75th: 13.00, Best Passes: 6, Median Passes: 0
INFO 03:35:45: Gen 31 Best: 56.60, Median: 17.60, 75th: 12.20, Best Passes: 5, Median Passes: 0
INFO 03:35:46: Gen 32 Best: 88.80, Median: 19.20, 75th: 13.00, Best Passes: 6, Median Passes: 0
INFO 03:35:47: Gen 33 Best: 81.60, Median: 19.80, 75th: 14.20, Best Passes: 7, Median Passes: 0
INFO 03:35:49: Gen 34 Best: 66.20, Median: 17.80, 75th: 14.00, Best Passes: 4, Median Passes: 0
INFO 03:35:50: Gen 35 Best: 63.20, Median: 18.40, 75th: 14.60, Best Passes: 4, Median Passes: 0
INFO 03:35:52: Gen 36 Best: 83.00, Median: 19.60, 75th: 13.20, Best Passes: 5, Median Passes: 0
INFO 03:35:53: Gen 37 Best: 86.80, Median: 19.00, 75th: 10.80, Best Passes: 6, Median Passes: 0
INFO 03:35:55: Gen 38 Best: 70.20, Median: 21.80, 75th: 11.80, Best Passes: 4, Median Passes: 0
INFO 03:35:56: Gen 39 Best: 66.00, Median: 18.40, 75th: 7.00, Best Passes: 4, Median Passes: 0
INFO 03:35:57: Gen 40 Best: 70.20, Median: 17.00, 75th: 6.00, Best Passes: 4, Median Passes: 0
INFO 03:35:59: Gen 41 Best: 88.40, Median: 18.00, 75th: 11.40, Best Passes: 5, Median Passes: 0
INFO 03:36:00: Gen 42 Best: 91.40, Median: 15.40, 75th: 5.00, Best Passes: 6, Median Passes: 0
INFO 03:36:02: Gen 43 Best: 71.00, Median: 17.00, 75th: 6.00, Best Passes: 4, Median Passes: 0
INFO 03:36:03: Gen 44 Best: 66.20, Median: 20.00, 75th: 9.00, Best Passes: 5, Median Passes: 0
INFO 03:36:05: Gen 45 Best: 61.40, Median: 16.00, 75th: 8.40, Best Passes: 6, Median Passes: 0
INFO 03:36:06: Gen 46 Best: 89.00, Median: 16.40, 75th: 9.20, Best Passes: 6, Median Passes: 0
INFO 03:36:07: Gen 47 Best: 91.40, Median: 18.40, 75th: 10.80, Best Passes: 7, Median Passes: 0
INFO 03:36:09: Gen 48 Best: 67.60, Median: 19.20, 75th: 9.60, Best Passes: 5, Median Passes: 0
INFO 03:36:10: Gen 49 Best: 89.40, Median: 17.80, 75th: 7.00, Best Passes: 5, Median Passes: 0
INFO 03:36:10: Making Agents
INFO 03:36:10: Architecture: [(3, 3), (6, 3)]
INFO 03:36:10: Number of weights: 33
INFO 03:36:11: Gen 0 Best: 19.40, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:12: Gen 1 Best: 25.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:36:14: Gen 2 Best: 22.60, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
