INFO 03:31:41: Loading World
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:34:23: Gen 42 Best: 34.00, Median: 16.20, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:34:24: Gen 43 Best: 25.60, Median: 14.40, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:34:26: Gen 44 Best: 30.00, Median: 15.00, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:34:27: Gen 45 Best: 30.80, Median: 15.20, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:34:28: Gen 46 Best: 27.60, Median: 14.00, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:34:30: Gen 47 Best: 27.40, Median: 16.00, 75th: 12.40, Best Passes: 0, Median Passes: 0
INFO 03:34:31: Gen 48 Best: 28.40, Median: 14.80, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:34:32: Gen 49 Best: 32.20, Median: 13.80, 75th: 11.00, Best Passes: 0, Median Passes: 0
INFO 03:34:32: Making Agents
INFO 03:34:32: Architecture: [(3, 3), (6, 2)]
INFO 03:34:32: Number of weights: 26
INFO 03:34:33: Gen 0 Best: 24.80, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:34:35: Gen 1 Best: 28.80, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:34:36: Gen 2 Best: 27.60, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:34:37: Gen 3 Best: 24.60, Median: 10.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:34:38: Gen 4 Best: 26.00, Median: 11.60, 75th: 1.00, Best Passes: 0, Median Passes: 0
INFO 03:34:40: Gen 5 Best: 27.00, Median: 11.40, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:34:41: Gen 6 Best: 31.80, Median: 13.00, 75th: 7.80, Best Passes: 0, Median Passes: 0
INFO 03:34:42: Gen 7 Best: 27.60, Median: 13.60, 75th: 10.20, Best Passes: 0, Median Passes: 0
INFO 03:34:44: Gen 8 Best: 30.00, Median: 14.00, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:34:45: Gen 9 Best: 32.60, Median: 16.40, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:34:47: Gen 10 Best: 31.80, Median: 15.40, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:34:48: Gen 11 Best: 30.20, Median: 14.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:34:49: Gen 12 Best: 28.80, Median: 14.80, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:34:51: Gen 13 Best: 28.40, Median: 14.20, 75th: 9.00, Best Passes: 0, Median Passes: 0
INFO 03:34:52: Gen 14 Best: 27.80, Median: 13.60, 75th: 8.80, Best Passes: 0, Median Passes: 0
INFO 03:34:54: Gen 15 Best: 27.40, Median: 13.40, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:34:55: Gen 16 Best: 29.00, Median: 15.40, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:34:57: Gen 17 Best: 30.60, Median: 15.20, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:34:58: Gen 18 Best: 26.60, Median: 16.00, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:34:59: Gen 19 Best: 31.20, Median: 15.60, 75th: 12.20, Best Passes: 0, Median Passes: 0
INFO 03:35:01: Gen 20 Best: 30.00, Median: 16.60, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:35:02: Gen 21 Best: 32.00, Median: 14.20, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:35:03: Gen 22 Best: 27.60, Median: 13.80, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:35:05: Gen 23 Best: 28.40, Median: 14.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:35:06: Gen 24 Best: 29.60, Median: 15.40, 75th: 12.40, Best Passes: 0, Median Passes: 0
INFO 03:35:08: Gen 25 Best: 27.00, Median: 15.00, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:35:09: Gen 26 Best: 26.20, Median: 14.60, 75th: 9.60, Best Passes: 0, Median Passes: 0
INFO 03:35:10: Gen 27 Best: 30.80, Median: 15.40, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:35:11: Gen 28 Best: 25.20, Median: 13.60, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:35:13: Gen 29 Best: 28.00, Median: 15.60, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:35:14: Gen 30 Best: 31.40, Median: 14.60, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:35:15: Gen 31 Best: 31.40, Median: 14.80, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:35:17: Gen 32 Best: 25.80, Median: 14.20, 75th: 9.80, Best Passes: 0, Median Passes: 0
INFO 03:35:18: Gen 33 Best: 29.20, Median: 14.60, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:35:19: Gen 34 Best: 26.40, Median: 14.80, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:35:20: Gen 35 Best: 30.80, Median: 15.40, 75th: 13.60, Best Passes: 0, Median Passes: 0
INFO 03:35:22: Gen 36 Best: 37.80, Median: 15.00, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:35:23: Gen 37 Best: 31.00, Median: 15.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:35:24: Gen 38 Best: 28.20, Median: 15.40, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:35:26: Gen 39 Best: 28.20, Median: 17.40, 75th: 13.40, Best Passes: 0, Median Passes: 0
INFO 03:35:27: Gen 40 Best: 28.80, Median: 14.60, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:35:28: Gen 41 Best: 27.60, Median: 16.00, 75th: 13.80, Best Passes: 0, Median Passes: 0
INFO 03:35:30: Gen 42 Best: 28.60, Median: 15.00, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:35:31: Gen 43 Best: 28.80, Median: 14.40, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:35:32: Gen 44 Best: 29.40, Median: 15.60, 75th: 12.40, Best Passes: 0, Median Passes: 0
INFO 03:35:34: Gen 45 Best: 27.20, Median: 17.20, 75th: 13.20, Best Passes: 0, Median Passes: 0
INFO 03:35:35: Gen 46 Best: 38.40, Median: 15.80, 75th: 10.80, Best Passes: 0, Median Passes: 0
INFO 03:35:36: Gen 47 Best: 28.20, Median: 15.40, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:35:37: Gen 48 Best: 27.20, Median: 13.60, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:35:39: Gen 49 Best: 32.00, Median: 15.40, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:35:39: Making Agents
INFO 03:35:39: Architecture: [(3, 3), (6, 2)]
INFO 03:35:39: Number of weights: 26
INFO 03:35:40: Gen 0 Best: 28.80, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:35:41: Gen 1 Best: 25.00, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:35:42: Gen 2 Best: 24.20, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:35:43: Gen 3 Best: 27.00, Median: 8.60, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:35:44: Gen 4 Best: 40.00, Median: 10.40, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:35:45: Gen 5 Best: 25.60, Median: 12.80, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:35:47: Gen 6 Best: 29.00, Median: 13.40, 75th: 8.00, Best Passes: 0, Median Passes: 0
INFO 03:35:48: Gen 7 Best: 30.40, Median: 14.00, 75th: 9.20, Best Passes: 0, Median Passes: 0
INFO 03:35:49: Gen 8 Best: 29.00, Median: 14.80, 75th: 11.40, Best Passes: 0, Median Passes: 0
